,Unnamed: 0,the_geom,objectid_1,tbbl,address,material,record_typ,city_owned,shape_leng,shape_area
680,4540,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98690892413113, 40.72134042196145], [-73.98693565521407, 40.72128825127418], [-73.98701621301925, 40.72131266149479], [-73.9870898306862, 40.72133496729066], [-73.98716356675519, 40.72135730907293], [-73.98724501237315, 40.72138198758402], [-73.9872182803113, 40.721434158342326], [-73.98690892413113, 40.72134042196145]]]]}",4286,1004120072,161 ESSEX STREET,Potential Lead,HISTORICAL DATA,No,225.40419596,1882.95345884
689,4625,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99043832868567, 40.719597221256834], [-73.99047365967645, 40.719528177598335], [-73.99077789620011, 40.719619777910665], [-73.99074252523383, 40.71968882796192], [-73.99043832868567, 40.719597221256834]]]]}",4624,1004157502,115 ALLEN STREET,Potential Lead,HISTORICAL DATA,No,235.379292901,2448.40120847
690,4627,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98948347522482, 40.72145490654142], [-73.98954974739998, 40.721325485938955], [-73.98985478501592, 40.721417326475084], [-73.98978851334164, 40.72154674815201], [-73.98948347522482, 40.72145490654142]]]]}",4626,1004160020,169 ALLEN STREET,Potential Lead,HISTORICAL DATA,No,283.076120981,4601.56762042
731,4849,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99086488854039, 40.71876268860142], [-73.99089929517726, 40.718695853682064], [-73.99120273775337, 40.71878837404098], [-73.99120204520038, 40.71878970764322], [-73.99116850192407, 40.7188543067524], [-73.99086488854039, 40.71876268860142]]]]}",4570,1004140023,95 ALLEN STREET,Potential Lead,HISTORICAL DATA,No,233.137134601,2354.08391917
751,4943,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99165937802755, 40.71892616622576], [-73.9916930321699, 40.71886115094663], [-73.99178564184321, 40.71888746418599], [-73.99186892315167, 40.7189111246908], [-73.99183559225462, 40.71897623099532], [-73.99165937802755, 40.71892616622576]]]]}",4766,1004190069,131 ELDRIDGE STREET,Potential Lead,HISTORICAL DATA,No,155.101392554,1325.96965927
754,5008,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99386704345353, 40.718414118385546], [-73.99393834204399, 40.71827591279909], [-73.9940263525428, 40.718302276225465], [-73.99395488131387, 40.71844042962724], [-73.99386704345353, 40.718414118385546]]]]}",4831,1004230026,250 GRAND STREET,Potential Lead,EXCAVATION,No,160.572526809,1416.88699146
755,5010,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99400551404678, 40.71852461374163], [-73.99410789995832, 40.71832670405799], [-73.99419431403376, 40.71835258820271], [-73.99409192833897, 40.71855049976363], [-73.99400551404678, 40.71852461374163]]]]}",4833,1004230028,246 GRAND STREET,Potential Lead,EXCAVATION,No,206.467121939,1994.8881551
756,5011,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99409192833897, 40.71855049976363], [-73.99419431403376, 40.71835258820271], [-73.99428492609592, 40.718379730503386], [-73.99418254062836, 40.71857764304463], [-73.99409192833897, 40.71855049976363]]]]}",4834,1004230029,244 GRAND STREET,Potential Lead,EXCAVATION,No,208.969351881,2091.81345475
757,5012,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99418254062836, 40.71857764304463], [-73.99428492609592, 40.718379730503386], [-73.99437153558854, 40.71840567305773], [-73.9943352587529, 40.71847579668681], [-73.99430317820479, 40.71853780691734], [-73.99427968305564, 40.718530769168], [-73.99426582971576, 40.71855754514066], [-73.99426247326511, 40.71855654090487], [-73.99424188677479, 40.718596333409366], [-73.99422174569587, 40.718590300784996], [-73.99422215527169, 40.71858951015784], [-73.99418254062836, 40.71857764304463]]]]}",4835,1004230030,242 GRAND STREET,Potential Lead,EXCAVATION,No,207.202907701,1805.70563555
999,6550,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.00148460153989, 40.721592397895655], [-74.00153177974715, 40.721536790814085], [-74.00145175457375, 40.72149773315035], [-74.0015560160462, 40.72137352900924], [-74.0017129309038, 40.72144943973667], [-74.00156024747778, 40.72162951950007], [-74.00148460153989, 40.721592397895655]]]]}",6350,1004740022,100 GRAND STREET,Potential Lead,HISTORICAL DATA,No,258.730705012,3368.60407755
1008,6622,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.0038614040886, 40.72271097627843], [-74.0039818254031, 40.72256919957882], [-74.00403736831107, 40.7225965524188], [-74.00391763358482, 40.72273866414218], [-74.0038614040886, 40.72271097627843]]]]}",6422,1004760084,46 GRAND STREET,Potential Lead,HISTORICAL DATA,No,159.905138931,1134.82947942
1009,6623,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.00390887303575, 40.72274906172135], [-74.00391763358482, 40.72273866414218], [-74.00403736831107, 40.7225965524188], [-74.00415947054202, 40.72265665347307], [-74.00403023801199, 40.72280880273263], [-74.00390887303575, 40.72274906172135]]]]}",6423,1004760085,44 GRAND STREET,Potential Lead,OBSERVATION,No,212.377690271,2652.46224202
1489,9485,"{'type': 'MultiPolygon', 'coordinates': [[[[-74.00863894668059, 40.724720385276996], [-74.00868860124056, 40.72444050058994], [-74.00898300437862, 40.72464835333584], [-74.00887946504874, 40.72474350105987], [-74.00884040583513, 40.72479895741852], [-74.00879213660474, 40.72476539013367], [-74.0088056252565, 40.724745220399534], [-74.00878586047149, 40.72473552432636], [-74.00878641989193, 40.7247321194586], [-74.00877002250137, 40.72473056012635], [-74.00876962272272, 40.72473281773322], [-74.00863894668059, 40.724720385276996]]]]}",9107,1005940008,505 CANAL STREET,Potential Lead,HISTORICAL DATA,No,358.200096117,6271.18675991
35969,200649,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96097313227938, 40.714271483859925], [-73.96114238513792, 40.71401968633272], [-73.96116198388309, 40.71402686371163], [-73.96121673683166, 40.714049412043195], [-73.9611717545322, 40.71411633092676], [-73.96114832048949, 40.71415119438974], [-73.96104711461477, 40.71430175886502], [-73.96097313227938, 40.714271483859925]]]]}",200323,3023930013,180 GRAND STREET,Potential Lead,OBSERVATION,No,252.881833219,2404.11141328
35970,200653,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96047180220899, 40.71406633050783], [-73.96064477434335, 40.713825461777006], [-73.96073690716338, 40.713863164294324], [-73.96056393526412, 40.71410403316248], [-73.96047180220899, 40.71406633050783]]]]}",200327,3023930020,198 GRAND STREET,Potential Lead,HISTORICAL DATA,No,258.006080838,2900.07705942
35971,200655,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96032379723911, 40.714005763485204], [-73.96049676975116, 40.71376489497471], [-73.96058056219914, 40.71379918452189], [-73.96040758990087, 40.714040053157106], [-73.96032379723911, 40.714005763485204]]]]}",200329,3023930023,204 GRAND STREET,Potential Lead,HISTORICAL DATA,No,252.755526826,2637.54914849
35972,200656,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96016620881996, 40.713941273934076], [-73.96033918173411, 40.71370040565838], [-73.96042056981229, 40.71373371113644], [-73.96024759592167, 40.71397458043351], [-73.96016620881996, 40.713941273934076]]]]}",200330,3023930025,212 GRAND STREET,Potential Lead,HISTORICAL DATA,No,251.242170025,2561.86476545
36027,201457,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.95130408873247, 40.710688466900535], [-73.95138152011842, 40.7106804895841], [-73.95140589023536, 40.71082465276909], [-73.95132845515178, 40.710832606686935], [-73.95130408873247, 40.710688466900535]]]]}",201232,3024000007,496 GRAND STREET,Potential Lead,HISTORICAL DATA,No,149.228086641,1147.04102146
36145,202207,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96575659324748, 40.716013606196135], [-73.96587652520819, 40.71574642348436], [-73.96596732250863, 40.7157729865988], [-73.96590325453896, 40.71590361457483], [-73.9658999251324, 40.715904051236706], [-73.965839818773, 40.71603795370342], [-73.96575659324748, 40.716013606196135]]]]}",202204,3023900010,38 GRAND STREET,Potential Lead,HISTORICAL DATA,No,257.834638353,2618.95869729
36146,202208,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9656707905065, 40.71598850503357], [-73.96579072276577, 40.71572132241028], [-73.96582120031606, 40.71573023841005], [-73.96587652520819, 40.71574642348436], [-73.96575659324748, 40.716013606196135], [-73.9656707905065, 40.71598850503357]]]]}",202205,3023900011,40 GRAND STREET,Potential Lead,HISTORICAL DATA,No,256.694233246,2619.41860184
36147,202215,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96503724854483, 40.71580316045423], [-73.96515718537745, 40.715535978485065], [-73.96516986692954, 40.71553968882302], [-73.96524298260844, 40.715561080030525], [-73.96529356331746, 40.71557587716712], [-73.96517362932697, 40.715843059277645], [-73.96503724854483, 40.71580316045423]]]]}",202212,3023900018,58 GRAND STREET,Potential Lead,HISTORICAL DATA,No,286.737498582,4163.47793968
36148,202216,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9649661857179, 40.71578237038189], [-73.96508612161418, 40.71551518848568], [-73.96515718537745, 40.715535978485065], [-73.96503724854483, 40.71580316045423], [-73.9649661857179, 40.71578237038189]]]]}",202213,3023900020,62 GRAND STREET,Potential Lead,HISTORICAL DATA,No,247.939788328,2169.47112586
36149,202217,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96489218003187, 40.7157607202814], [-73.9650249231532, 40.715497284873926], [-73.965029261169, 40.715498554110304], [-73.96508612161418, 40.71551518848568], [-73.9649661857179, 40.71578237038189], [-73.96489218003187, 40.7157607202814]]]]}",202214,3023900021,64 GRAND STREET,Potential Lead,HISTORICAL DATA,No,245.809740326,2063.7969708
36232,202607,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96231605031974, 40.71481778830411], [-73.96248876705529, 40.71457023045448], [-73.96256862626981, 40.71460278918898], [-73.96257316504527, 40.7146046394126], [-73.96240044853505, 40.714852195586715], [-73.96231605031974, 40.71481778830411]]]]}",202234,3023920014,140 GRAND STREET,Potential Lead,HISTORICAL DATA,No,257.314759359,2710.4428962
36249,202731,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96462966482873, 40.7158727075329], [-73.96470204110517, 40.715893924156795], [-73.96459125362993, 40.71612139955382], [-73.96452818372588, 40.71608107239847], [-73.96462966482873, 40.7158727075329]]]]}",202358,3023780028,71 GRAND STREET,Potential Lead,HISTORICAL DATA,No,213.681173698,1820.39955116
36250,202737,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96511596314403, 40.71640204346751], [-73.96528727133257, 40.71606547461265], [-73.96537181494743, 40.71609025690147], [-73.96519064982195, 40.71643108591642], [-73.96511596314403, 40.71640204346751]]]]}",202364,3023780037,47 GRAND STREET,Potential Lead,HISTORICAL DATA,No,313.809543787,3202.47291221
36251,202739,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96530219807559, 40.716394322040756], [-73.96545961631419, 40.71611599374588], [-73.96554888625379, 40.71614216140668], [-73.96542132011942, 40.71636771088315], [-73.9653838253115, 40.71643400328263], [-73.96530219807559, 40.716394322040756]]]]}",202366,3023780039,43 GRAND STREET,Potential Lead,HISTORICAL DATA,No,279.521125132,2996.48242688
36253,202761,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96280594435825, 40.71547593705287], [-73.96275857772683, 40.7154543004866], [-73.96276498175797, 40.715447658592744], [-73.96293539741856, 40.7152709461026], [-73.96300008761636, 40.715297321248144], [-73.96282114361982, 40.71548287859361], [-73.96280594435825, 40.71547593705287]]]]}",202388,3023790029,121 GRAND STREET,Potential Lead,HISTORICAL DATA,No,207.282946427,1679.03007297
36254,202764,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96298656327616, 40.71555843698672], [-73.9631711235247, 40.7153670566819], [-73.96325783607838, 40.715402410509824], [-73.96307042685868, 40.71559674461332], [-73.96298656327616, 40.71555843698672]]]]}",202391,3023790033,111 GRAND STREET,Potential Lead,HISTORICAL DATA,No,228.688703303,2353.09826963
36255,202766,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96317047054121, 40.71560639231111], [-73.96333632175573, 40.71543441175411], [-73.96341344561537, 40.715465855996456], [-73.96324538367303, 40.71564012955784], [-73.96317047054121, 40.71560639231111]]]]}",202393,3023790035,105 GRAND STREET,Potential Lead,HISTORICAL DATA,No,204.856872537,1878.78057636
36256,202769,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96340836501612, 40.71571353074286], [-73.96358123797398, 40.715534268739574], [-73.96365802484391, 40.71556557583343], [-73.96348295064071, 40.715747120947135], [-73.96340836501612, 40.71571353074286]]]]}",202396,3023790038,99 GRAND STREET,Potential Lead,HISTORICAL DATA,No,211.221682652,1949.19140558
