,Unnamed: 0,the_geom,objectid_1,tbbl,address,material,record_typ,city_owned,shape_leng,shape_area
43465,253365,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9180265744977, 40.657891905246785], [-73.918388956518, 40.65765819147712], [-73.91840945689417, 40.657676595480815], [-73.91844951392235, 40.65771255812288], [-73.91808713181892, 40.657946272081794], [-73.9180265744977, 40.657891905246785]]]]}",253011,3046700061,390 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,315.459249284,3422.19940988
43466,253369,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91779168946745, 40.657681032817266], [-73.91815407234883, 40.657447318882255], [-73.91821345647554, 40.65750063211447], [-73.91785107351278, 40.65773434623515], [-73.91779168946745, 40.657681032817266]]]]}",253015,3046700066,402 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,314.453731302,3355.90687706
43470,253402,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91724171625707, 40.65785900115724], [-73.91730779690499, 40.657816476735846], [-73.91737911524932, 40.65777058090043], [-73.91744401586456, 40.65772881378829], [-73.91751700854311, 40.65768184114982], [-73.91757536607786, 40.65773412468297], [-73.9173000749136, 40.65791128482985], [-73.91724171625707, 40.65785900115724]]]]}",253048,3046710043,409 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,250.001606063,2500.03110632
43552,254405,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9154135838229, 40.656223024544495], [-73.91546921577068, 40.65618719423652], [-73.91552768546441, 40.65614953523391], [-73.91558062386402, 40.65611543909098], [-73.9156353846492, 40.65608016908523], [-73.91569541861114, 40.65604150256495], [-73.91575660172434, 40.65609655819453], [-73.91547476686885, 40.65627808122336], [-73.9154135838229, 40.656223024544495]]]]}",254299,3046930011,483 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,257.384700152,2691.23184497
43553,254418,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91615317174868, 40.656888550327395], [-73.91643500733504, 40.656707027450075], [-73.91649158530069, 40.65675793785906], [-73.91620974964981, 40.65693946357546], [-73.91615317174868, 40.656888550327395]]]]}",254312,3046930028,445 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,253.42852102,2488.65334137
43568,254604,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91634413408524, 40.65637482631452], [-73.91670454581573, 40.656144250179636], [-73.91676281950073, 40.65619675830382], [-73.9164026763179, 40.65642716281632], [-73.91634413408524, 40.65637482631452]]]]}",254169,3046920029,470 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,311.204139099,3270.07954694
43637,255299,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9146941833609, 40.655577472488], [-73.91497440988259, 40.65539919023052], [-73.91504628520299, 40.655463909493655], [-73.91498575378017, 40.65550242042089], [-73.91493180784755, 40.65553674067645], [-73.91476598878175, 40.65564223599856], [-73.9146941833609, 40.655577472488]]]]}",255018,3047170034,519 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,264.416425139,3129.08882669
43782,256788,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9133793498297, 40.65373270367844], [-73.91349420822819, 40.653658553254076], [-73.9136158464013, 40.65376780811812], [-73.91350068382032, 40.65384215384654], [-73.9133793498297, 40.65373270367844]]]]}",256456,3047550052,598 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,188.044396808,2183.24513526
43784,256873,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.91183766446831, 40.65301835473752], [-73.9117766123886, 40.65296356635464], [-73.91184016504194, 40.65292184727476], [-73.91191346533914, 40.652873732044256], [-73.91198717380666, 40.652825347824304], [-73.91205572370801, 40.65278035096235], [-73.91213398398195, 40.652850582716134], [-73.9118548725848, 40.65303379739644], [-73.91183766446831, 40.65301835473752]]]]}",256567,3047560010,659 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,271.605689241,3431.18823069
60410,382796,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9038929534201, 40.64587726021595], [-73.90417187684345, 40.64569667066043], [-73.90422959824707, 40.64574842831618], [-73.90395076114754, 40.64592896315115], [-73.9038929534201, 40.64587726021595]]]]}",382624,3081650028,1017 EAST 96 STREET,Potential Lead,HISTORICAL DATA,No,252.627808294,2513.08496879
